,Date,Volatility,PeriodStart,PeriodEnd,DataPointsUsed
0,1990-01-04,0.79558672204,1990-01-02,1990-01-04,3
1,1990-01-05,0.699871642127,1990-01-02,1990-01-05,4
2,1990-01-08,0.664554939465,1990-01-02,1990-01-08,5
3,1990-01-09,0.637183460057,1990-01-02,1990-01-09,6
4,1990-01-10,0.515199333669,1990-01-03,1990-01-10,6
5,1990-01-11,0.428866521285,1990-01-04,1990-01-11,6
6,1990-01-12,0.646006795069,1990-01-05,1990-01-12,6
7,1990-01-15,0.64202156399,1990-01-08,1990-01-15,6
8,1990-01-16,0.593803196605,1990-01-09,1990-01-16,6
9,1990-01-17,0.585036325727,1990-01-10,1990-01-17,6
10,1990-01-18,0.774512836422,1990-01-11,1990-01-18,6
11,1990-01-19,0.813004864395,1990-01-12,1990-01-19,6
12,1990-01-22,0.824481029652,1990-01-15,1990-01-22,6
13,1990-01-23,0.85707617433,1990-01-16,1990-01-23,6
14,1990-01-24,0.831211314996,1990-01-17,1990-01-24,6
15,1990-01-25,0.865229324791,1990-01-18,1990-01-25,6
16,1990-01-26,1.07873880569,1990-01-19,1990-01-26,6
17,1990-01-29,1.12516254089,1990-01-22,1990-01-29,6
18,1990-01-30,0.857385649,1990-01-23,1990-01-30,6
19,1990-01-31,1.05872596224,1990-01-24,1990-01-31,6
20,1990-02-01,1.23299355312,1990-01-25,1990-02-01,6
21,1990-02-02,1.1422887704,1990-01-26,1990-02-02,6
22,1990-02-05,0.995099847797,1990-01-29,1990-02-05,6
23,1990-02-06,0.944255368368,1990-01-30,1990-02-06,6
24,1990-02-07,1.0038333298,1990-01-31,1990-02-07,6
25,1990-02-08,0.86025045251,1990-02-01,1990-02-08,6
26,1990-02-09,0.679240244392,1990-02-02,1990-02-09,6
27,1990-02-12,0.749956817287,1990-02-05,1990-02-12,6
28,1990-02-13,0.74847465526,1990-02-06,1990-02-13,6
29,1990-02-14,0.746143311636,1990-02-07,1990-02-14,6
30,1990-02-15,0.665259621477,1990-02-08,1990-02-15,6
31,1990-02-16,0.647045112968,1990-02-09,1990-02-16,6
32,1990-02-20,0.608166687398,1990-02-12,1990-02-20,6
33,1990-02-21,0.959011116957,1990-02-13,1990-02-21,6
34,1990-02-22,0.951055733416,1990-02-14,1990-02-22,6
35,1990-02-23,0.930120954801,1990-02-15,1990-02-23,6
36,1990-02-26,0.990498790239,1990-02-16,1990-02-26,6
37,1990-02-27,0.988251364364,1990-02-20,1990-02-27,6
38,1990-02-28,0.881952461237,1990-02-21,1990-02-28,6
39,1990-03-01,0.500204036626,1990-02-22,1990-03-01,6
40,1990-03-02,0.527640638921,1990-02-23,1990-03-02,6
41,1990-03-05,0.52276210585,1990-02-26,1990-03-05,6
42,1990-03-06,0.494773148744,1990-02-27,1990-03-06,6
43,1990-03-07,0.555962287893,1990-02-28,1990-03-07,6
44,1990-03-08,0.601282806429,1990-03-01,1990-03-08,6
45,1990-03-09,0.473276548598,1990-03-02,1990-03-09,6
46,1990-03-12,0.619712501148,1990-03-05,1990-03-12,6
47,1990-03-13,0.633921268187,1990-03-06,1990-03-13,6
48,1990-03-14,0.587968503153,1990-03-07,1990-03-14,6
49,1990-03-15,0.567068645925,1990-03-08,1990-03-15,6
50,1990-03-16,0.599976886339,1990-03-09,1990-03-16,6
51,1990-03-19,0.584954746937,1990-03-12,1990-03-19,6
52,1990-03-20,0.487804600746,1990-03-13,1990-03-20,6
53,1990-03-21,0.455745371382,1990-03-14,1990-03-21,6
54,1990-03-22,0.446172498077,1990-03-15,1990-03-22,6
55,1990-03-23,0.398934669151,1990-03-16,1990-03-23,6
56,1990-03-26,0.676742490607,1990-03-19,1990-03-26,6
57,1990-03-27,0.758026045072,1990-03-20,1990-03-27,6
