,Date,Volatility,PeriodStart,PeriodEnd,DataPointsUsed
0,1990-01-02,0.0102978700524,1990-01-02,1990-01-09,6
1,1990-01-03,0.00544860288877,1990-01-03,1990-01-10,6
2,1990-01-04,0.00643707756386,1990-01-04,1990-01-11,6
3,1990-01-05,0.00988131813847,1990-01-05,1990-01-12,6
4,1990-01-08,0.00984678883779,1990-01-08,1990-01-15,6
5,1990-01-09,0.0113607601407,1990-01-09,1990-01-16,6
6,1990-01-10,0.0112163699083,1990-01-10,1990-01-17,6
7,1990-01-11,0.0116058412361,1990-01-11,1990-01-18,6
8,1990-01-12,0.0115320464333,1990-01-12,1990-01-19,6
9,1990-01-15,0.0118721793822,1990-01-15,1990-01-22,6
10,1990-01-16,0.0120774743856,1990-01-16,1990-01-23,6
11,1990-01-17,0.0104080077946,1990-01-17,1990-01-24,6
12,1990-01-18,0.010666028549,1990-01-18,1990-01-25,6
13,1990-01-19,0.0103272273694,1990-01-19,1990-01-26,6
14,1990-01-22,0.00978135186237,1990-01-22,1990-01-29,6
15,1990-01-23,0.00510829771923,1990-01-23,1990-01-30,6
16,1990-01-24,0.00979054781451,1990-01-24,1990-01-31,6
17,1990-01-25,0.00970827444706,1990-01-25,1990-02-01,6
18,1990-01-26,0.00829757867115,1990-01-26,1990-02-02,6
19,1990-01-29,0.00816003693805,1990-01-29,1990-02-05,6
20,1990-01-30,0.00880761414107,1990-01-30,1990-02-06,6
21,1990-01-31,0.00838854550607,1990-01-31,1990-02-07,6
22,1990-02-01,0.00619582293376,1990-02-01,1990-02-08,6
23,1990-02-02,0.00606910194764,1990-02-02,1990-02-09,6
24,1990-02-05,0.00736800953132,1990-02-05,1990-02-12,6
25,1990-02-06,0.00737076603905,1990-02-06,1990-02-13,6
26,1990-02-07,0.0068810504391,1990-02-07,1990-02-14,6
27,1990-02-08,0.00594258245045,1990-02-08,1990-02-15,6
28,1990-02-09,0.00645530347633,1990-02-09,1990-02-16,6
29,1990-02-12,0.00818509449173,1990-02-12,1990-02-20,6
30,1990-02-13,0.00740445083941,1990-02-13,1990-02-21,6
31,1990-02-14,0.00734264562772,1990-02-14,1990-02-22,6
32,1990-02-15,0.00690928629812,1990-02-15,1990-02-23,6
33,1990-02-16,0.00857570512325,1990-02-16,1990-02-26,6
34,1990-02-20,0.00885007686907,1990-02-20,1990-02-27,6
35,1990-02-21,0.00677929744008,1990-02-21,1990-02-28,6
36,1990-02-22,0.0066662108137,1990-02-22,1990-03-01,6
37,1990-02-23,0.00566169157801,1990-02-23,1990-03-02,6
38,1990-02-26,0.00583704654541,1990-02-26,1990-03-05,6
39,1990-02-27,0.00549880009729,1990-02-27,1990-03-06,6
40,1990-02-28,0.00617145016469,1990-02-28,1990-03-07,6
41,1990-03-01,0.00663449475897,1990-03-01,1990-03-08,6
42,1990-03-02,0.00775518427164,1990-03-02,1990-03-09,6
43,1990-03-05,0.00732381669514,1990-03-05,1990-03-12,6
