,Date,Volatility,PeriodStart,PeriodEnd,DataPointsUsed
0,1990-01-02,2.85181375185,1990-01-02,1990-01-09,5
1,1990-01-03,3.09563611609,1990-01-03,1990-01-10,5
2,1990-01-04,2.96567261269,1990-01-04,1990-01-11,5
3,1990-01-05,2.38013155016,1990-01-05,1990-01-12,5
4,1990-01-08,4.51433540473,1990-01-08,1990-01-15,5
5,1990-01-09,5.04943309333,1990-01-09,1990-01-16,5
6,1990-01-10,4.45435357286,1990-01-10,1990-01-17,5
7,1990-01-11,4.15889204804,1990-01-11,1990-01-18,5
8,1990-01-12,1.45223381919,1990-01-12,1990-01-19,5
9,1990-01-15,1.34469952927,1990-01-15,1990-01-22,5
10,1990-01-16,3.57586436264,1990-01-16,1990-01-23,5
11,1990-01-17,3.61653213729,1990-01-17,1990-01-24,5
12,1990-01-18,3.92043352206,1990-01-18,1990-01-25,5
13,1990-01-19,4.25917667322,1990-01-19,1990-01-26,5
14,1990-01-22,2.40496256605,1990-01-22,1990-01-29,5
15,1990-01-23,2.61860897656,1990-01-23,1990-01-30,5
16,1990-01-24,2.36363792729,1990-01-24,1990-01-31,5
17,1990-01-25,1.95678878986,1990-01-25,1990-02-01,5
18,1990-01-26,2.29722807403,1990-01-26,1990-02-02,5
19,1990-01-29,2.8817023859,1990-01-29,1990-02-05,5
20,1990-01-30,3.08930024997,1990-01-30,1990-02-06,5
21,1990-01-31,1.15559882835,1990-01-31,1990-02-07,5
22,1990-02-01,1.73036863148,1990-02-01,1990-02-08,5
23,1990-02-02,1.44918038465,1990-02-02,1990-02-09,5
24,1990-02-05,1.5119146103,1990-02-05,1990-02-12,5
25,1990-02-06,1.77592332966,1990-02-06,1990-02-13,5
26,1990-02-07,1.47284620624,1990-02-07,1990-02-14,5
27,1990-02-08,1.27857066511,1990-02-08,1990-02-15,5
28,1990-02-09,1.7377378843,1990-02-09,1990-02-16,5
29,1990-02-12,1.63791814476,1990-02-12,1990-02-20,5
30,1990-02-13,2.25990764592,1990-02-13,1990-02-21,5
31,1990-02-14,2.80157208411,1990-02-14,1990-02-22,5
32,1990-02-15,3.43678225474,1990-02-15,1990-02-23,5
33,1990-02-16,2.89390114345,1990-02-16,1990-02-26,5
34,1990-02-20,1.66709155457,1990-02-20,1990-02-27,5
35,1990-02-21,2.15673385842,1990-02-21,1990-02-28,5
36,1990-02-22,2.85347081738,1990-02-22,1990-03-01,5
37,1990-02-23,3.03611405822,1990-02-23,1990-03-02,5
38,1990-02-26,2.32575740611,1990-02-26,1990-03-05,5
39,1990-02-27,1.77023572829,1990-02-27,1990-03-06,5
40,1990-02-28,2.15622920899,1990-02-28,1990-03-07,5
41,1990-03-01,1.93143938349,1990-03-01,1990-03-08,5
42,1990-03-02,2.20247457032,1990-03-02,1990-03-09,5
43,1990-03-05,2.11614284794,1990-03-05,1990-03-12,5
44,1990-03-06,1.10467590184,1990-03-06,1990-03-13,5
45,1990-03-07,1.46305596369,1990-03-07,1990-03-14,5
46,1990-03-08,1.47445303217,1990-03-08,1990-03-15,5
47,1990-03-09,0.951348364405,1990-03-09,1990-03-16,5
48,1990-03-12,2.02764737704,1990-03-12,1990-03-19,5
49,1990-03-13,2.93291458246,1990-03-13,1990-03-20,5
50,1990-03-14,2.50340668371,1990-03-14,1990-03-21,5
51,1990-03-15,1.88254693881,1990-03-15,1990-03-22,5
52,1990-03-16,2.68428374835,1990-03-16,1990-03-23,5
53,1990-03-19,2.83849947755,1990-03-19,1990-03-26,5
54,1990-03-20,2.05763927743,1990-03-20,1990-03-27,5
55,1990-03-21,2.03594067321,1990-03-21,1990-03-28,5
56,1990-03-22,2.49267136109,1990-03-22,1990-03-29,5
57,1990-03-23,2.00357031921,1990-03-23,1990-03-30,5
58,1990-03-26,1.53640218537,1990-03-26,1990-04-02,5
59,1990-03-27,1.1705277292,1990-03-27,1990-04-03,5
60,1990-03-28,1.69860736582,1990-03-28,1990-04-04,5
61,1990-03-29,1.63060152608,1990-03-29,1990-04-05,5
62,1990-03-30,1.63108712583,1990-03-30,1990-04-06,5
63,1990-04-02,1.6168814208,1990-04-02,1990-04-09,5
64,1990-04-03,1.20866618258,1990-04-03,1990-04-10,5
65,1990-04-04,0.661227507652,1990-04-04,1990-04-11,5
66,1990-04-05,0.744817708772,1990-04-05,1990-04-12,5
67,1990-04-06,1.38279110674,1990-04-06,1990-04-16,5
68,1990-04-09,1.37467159019,1990-04-09,1990-04-17,5
69,1990-04-10,1.27783339762,1990-04-10,1990-04-18,5
70,1990-04-11,1.65035161346,1990-04-11,1990-04-19,5
71,1990-04-12,2.67473596275,1990-04-12,1990-04-20,5
72,1990-04-16,3.74449832955,1990-04-16,1990-04-23,5
73,1990-04-17,4.66053179644,1990-04-17,1990-04-24,5
74,1990-04-18,3.98472343533,1990-04-18,1990-04-25,5
75,1990-04-19,2.88343858752,1990-04-19,1990-04-26,5
76,1990-04-20,1.65745567063,1990-04-20,1990-04-27,5
77,1990-04-23,1.31813870291,1990-04-23,1990-04-30,5
78,1990-04-24,1.32358990632,1990-04-24,1990-05-01,5
79,1990-04-25,1.34399419794,1990-04-25,1990-05-02,5
80,1990-04-26,1.83373244791,1990-04-26,1990-05-03,5
81,1990-04-27,2.35683295957,1990-04-27,1990-05-04,5
82,1990-04-30,2.63917064717,1990-04-30,1990-05-07,5
83,1990-05-01,2.91524021529,1990-05-01,1990-05-08,5
84,1990-05-02,2.85433981565,1990-05-02,1990-05-09,5
85,1990-05-03,2.63193947942,1990-05-03,1990-05-10,5
86,1990-05-04,1.90276587191,1990-05-04,1990-05-11,5
87,1990-05-07,4.02579975489,1990-05-07,1990-05-14,5
88,1990-05-08,5.23785947747,1990-05-08,1990-05-15,5
89,1990-05-09,5.15760004026,1990-05-09,1990-05-16,5
90,1990-05-10,4.08432818662,1990-05-10,1990-05-17,5
91,1990-05-11,0.980999529052,1990-05-11,1990-05-18,5
92,1990-05-14,0.266640859653,1990-05-14,1990-05-21,5
93,1990-05-15,1.47637849078,1990-05-15,1990-05-22,5
94,1990-05-16,1.90015808691,1990-05-16,1990-05-23,5
95,1990-05-17,2.01264336455,1990-05-17,1990-05-24,5
96,1990-05-18,1.6127027012,1990-05-18,1990-05-25,5
97,1990-05-21,1.63589643855,1990-05-21,1990-05-29,5
98,1990-05-22,2.01822519419,1990-05-22,1990-05-30,5
99,1990-05-23,2.27411123987,1990-05-23,1990-05-31,5
100,1990-05-24,2.4872880496,1990-05-24,1990-06-01,5
101,1990-05-25,2.89796767782,1990-05-25,1990-06-04,5
102,1990-05-29,2.53150523525,1990-05-29,1990-06-05,5
103,1990-05-30,2.70802317186,1990-05-30,1990-06-06,5
104,1990-05-31,2.25969967564,1990-05-31,1990-06-07,5
105,1990-06-01,1.7458584621,1990-06-01,1990-06-08,5
106,1990-06-04,3.09870978636,1990-06-04,1990-06-11,5
107,1990-06-05,2.7347107995,1990-06-05,1990-06-12,5
108,1990-06-06,2.63399408352,1990-06-06,1990-06-13,5
109,1990-06-07,2.6248853924,1990-06-07,1990-06-14,5
110,1990-06-08,2.62256050516,1990-06-08,1990-06-15,5
111,1990-06-11,1.64254974282,1990-06-11,1990-06-18,5
112,1990-06-12,3.20548888902,1990-06-12,1990-06-19,5
113,1990-06-13,3.02054896561,1990-06-13,1990-06-20,5
114,1990-06-14,2.43925490181,1990-06-14,1990-06-21,5
115,1990-06-15,2.03137952712,1990-06-15,1990-06-22,5
116,1990-06-18,1.75309115679,1990-06-18,1990-06-25,5
117,1990-06-19,2.93091098917,1990-06-19,1990-06-26,5
118,1990-06-20,3.43441999855,1990-06-20,1990-06-27,5
119,1990-06-21,3.03221077171,1990-06-21,1990-06-28,5
120,1990-06-22,2.08902732142,1990-06-22,1990-06-29,5
121,1990-06-25,2.52711164219,1990-06-25,1990-07-02,5
122,1990-06-26,2.62258232452,1990-06-26,1990-07-03,5
123,1990-06-27,1.74963028943,1990-06-27,1990-07-05,5
124,1990-06-28,1.5712920378,1990-06-28,1990-07-06,5
125,1990-06-29,1.54492732104,1990-06-29,1990-07-09,5
126,1990-07-02,1.59386099371,1990-07-02,1990-07-10,5
127,1990-07-03,1.7204870606,1990-07-03,1990-07-11,5
128,1990-07-05,2.0111287062,1990-07-05,1990-07-12,5
129,1990-07-06,3.0302305622,1990-07-06,1990-07-13,5
130,1990-07-09,3.92767667458,1990-07-09,1990-07-16,5
131,1990-07-10,4.50639819804,1990-07-10,1990-07-17,5
132,1990-07-11,2.67413248663,1990-07-11,1990-07-18,5
133,1990-07-12,1.6639893971,1990-07-12,1990-07-19,5
134,1990-07-13,1.68257717471,1990-07-13,1990-07-20,5
135,1990-07-16,2.5605886147,1990-07-16,1990-07-23,5
136,1990-07-17,4.19907894139,1990-07-17,1990-07-24,5
137,1990-07-18,4.18116198204,1990-07-18,1990-07-25,5
138,1990-07-19,3.85538331895,1990-07-19,1990-07-26,5
139,1990-07-20,2.30943800576,1990-07-20,1990-07-27,5
140,1990-07-23,1.18824813537,1990-07-23,1990-07-30,5
141,1990-07-24,1.18412047126,1990-07-24,1990-07-31,5
142,1990-07-25,1.20688503315,1990-07-25,1990-08-01,5
143,1990-07-26,0.965825765262,1990-07-26,1990-08-02,5
144,1990-07-27,1.73685575546,1990-07-27,1990-08-03,5
145,1990-07-30,4.26452148107,1990-07-30,1990-08-06,5
146,1990-07-31,8.09811342015,1990-07-31,1990-08-07,5
147,1990-08-01,8.54193881271,1990-08-01,1990-08-08,5
148,1990-08-02,6.52328334201,1990-08-02,1990-08-09,5
149,1990-08-03,3.80993030352,1990-08-03,1990-08-10,5
150,1990-08-06,2.15524732522,1990-08-06,1990-08-13,5
151,1990-08-07,1.97590698467,1990-08-07,1990-08-14,5
152,1990-08-08,1.53895906199,1990-08-08,1990-08-15,5
153,1990-08-09,1.6722971662,1990-08-09,1990-08-16,5
154,1990-08-10,2.88498640415,1990-08-10,1990-08-17,5
155,1990-08-13,4.80371634085,1990-08-13,1990-08-20,5
156,1990-08-14,5.21372185642,1990-08-14,1990-08-21,5
157,1990-08-15,6.00033505032,1990-08-15,1990-08-22,5
158,1990-08-16,5.57293115265,1990-08-16,1990-08-23,5
159,1990-08-17,7.94832747876,1990-08-17,1990-08-24,5
160,1990-08-20,7.55245532161,1990-08-20,1990-08-27,5
161,1990-08-21,5.72398266902,1990-08-21,1990-08-28,5
162,1990-08-22,5.6145045509,1990-08-22,1990-08-29,5
163,1990-08-23,6.62013021068,1990-08-23,1990-08-30,5
164,1990-08-24,4.32643378186,1990-08-24,1990-08-31,5
165,1990-08-27,1.79240291431,1990-08-27,1990-09-04,5
166,1990-08-28,1.87377381517,1990-08-28,1990-09-05,5
167,1990-08-29,2.05452701945,1990-08-29,1990-09-06,5
168,1990-08-30,2.01419089643,1990-08-30,1990-09-07,5
169,1990-08-31,1.30410743579,1990-08-31,1990-09-10,5
170,1990-09-04,1.38597178993,1990-09-04,1990-09-11,5
171,1990-09-05,1.47871406894,1990-09-05,1990-09-12,5
172,1990-09-06,1.04964018943,1990-09-06,1990-09-13,5
173,1990-09-07,1.61437939755,1990-09-07,1990-09-14,5
174,1990-09-10,2.09601804651,1990-09-10,1990-09-17,5
175,1990-09-11,2.11508472192,1990-09-11,1990-09-18,5
176,1990-09-12,1.94738917222,1990-09-12,1990-09-19,5
177,1990-09-13,0.858348055317,1990-09-13,1990-09-20,5
178,1990-09-14,2.49176238644,1990-09-14,1990-09-21,5
179,1990-09-17,3.13071834084,1990-09-17,1990-09-24,5
180,1990-09-18,4.87892254056,1990-09-18,1990-09-25,5
181,1990-09-19,3.96928486557,1990-09-19,1990-09-26,5
182,1990-09-20,2.94521445848,1990-09-20,1990-09-27,5
183,1990-09-21,3.50926555564,1990-09-21,1990-09-28,5
184,1990-09-24,2.37241458368,1990-09-24,1990-10-01,5
185,1990-09-25,4.59657689095,1990-09-25,1990-10-02,5
186,1990-09-26,5.67485824176,1990-09-26,1990-10-03,5
187,1990-09-27,5.48164377157,1990-09-27,1990-10-04,5
188,1990-09-28,3.32173416782,1990-09-28,1990-10-05,5
189,1990-10-01,1.63977249618,1990-10-01,1990-10-08,5
190,1990-10-02,1.40832582624,1990-10-02,1990-10-09,5
191,1990-10-03,2.96946830379,1990-10-03,1990-10-10,5
192,1990-10-04,5.07151482782,1990-10-04,1990-10-11,5
193,1990-10-05,6.72698049089,1990-10-05,1990-10-12,5
194,1990-10-08,6.11010644543,1990-10-08,1990-10-15,5
195,1990-10-09,3.27606070067,1990-10-09,1990-10-16,5
196,1990-10-10,2.51347883192,1990-10-10,1990-10-17,5
197,1990-10-11,2.496298636,1990-10-11,1990-10-18,5
198,1990-10-12,2.72619742001,1990-10-12,1990-10-19,5
199,1990-10-15,5.07234521933,1990-10-15,1990-10-22,5
200,1990-10-16,6.65210440544,1990-10-16,1990-10-23,5
201,1990-10-17,5.86345893685,1990-10-17,1990-10-24,5
202,1990-10-18,3.05537784925,1990-10-18,1990-10-25,5
203,1990-10-19,1.45348621463,1990-10-19,1990-10-26,5
204,1990-10-22,3.42836246744,1990-10-22,1990-10-29,5
205,1990-10-23,4.30268053289,1990-10-23,1990-10-30,5
206,1990-10-24,4.02521750012,1990-10-24,1990-10-31,5
207,1990-10-25,2.77217000576,1990-10-25,1990-11-01,5
208,1990-10-26,1.64709627504,1990-10-26,1990-11-02,5
209,1990-10-29,3.45594251596,1990-10-29,1990-11-05,5
210,1990-10-30,4.24906007225,1990-10-30,1990-11-06,5
211,1990-10-31,3.79014906536,1990-10-31,1990-11-07,5
212,1990-11-01,3.21489772106,1990-11-01,1990-11-08,5
213,1990-11-02,3.1042772607,1990-11-02,1990-11-09,5
214,1990-11-05,3.36936844089,1990-11-05,1990-11-12,5
215,1990-11-06,4.77075297865,1990-11-06,1990-11-13,5
216,1990-11-07,5.33312952861,1990-11-07,1990-11-14,5
217,1990-11-08,4.68011454989,1990-11-08,1990-11-15,5
218,1990-11-09,2.30634689119,1990-11-09,1990-11-16,5
219,1990-11-12,1.35815346618,1990-11-12,1990-11-19,5
220,1990-11-13,1.33557405787,1990-11-13,1990-11-20,5
221,1990-11-14,1.81081597784,1990-11-14,1990-11-21,5
222,1990-11-15,1.36241746055,1990-11-15,1990-11-23,5
223,1990-11-16,1.5501587622,1990-11-16,1990-11-26,5
224,1990-11-19,1.52668576571,1990-11-19,1990-11-27,5
225,1990-11-20,1.07113204789,1990-11-20,1990-11-28,5
226,1990-11-21,1.14545210569,1990-11-21,1990-11-29,5
227,1990-11-23,1.10722406188,1990-11-23,1990-11-30,5
228,1990-11-26,2.10946995239,1990-11-26,1990-12-03,5
229,1990-11-27,2.90084080749,1990-11-27,1990-12-04,5
230,1990-11-28,3.71933759027,1990-11-28,1990-12-05,5
231,1990-11-29,4.49461184362,1990-11-29,1990-12-06,5
232,1990-11-30,2.9072728399,1990-11-30,1990-12-07,5
233,1990-12-03,2.0614128295,1990-12-03,1990-12-10,5
234,1990-12-04,1.23485702234,1990-12-04,1990-12-11,5
235,1990-12-05,1.20520327947,1990-12-05,1990-12-12,5
236,1990-12-06,1.27546853071,1990-12-06,1990-12-13,5
237,1990-12-07,1.3051806649,1990-12-07,1990-12-14,5
238,1990-12-10,1.45913037089,1990-12-10,1990-12-17,5
239,1990-12-11,1.6765975627,1990-12-11,1990-12-18,5
240,1990-12-12,1.72833522815,1990-12-12,1990-12-19,5
241,1990-12-13,1.7303148671,1990-12-13,1990-12-20,5
242,1990-12-14,1.83242467766,1990-12-14,1990-12-21,5
243,1990-12-17,1.91143705397,1990-12-17,1990-12-24,5
244,1990-12-18,0.68019592594,1990-12-18,1990-12-26,5
245,1990-12-19,0.672149849993,1990-12-19,1990-12-27,5
246,1990-12-20,1.14611150977,1990-12-20,1990-12-28,5
247,1990-12-21,1.28914390354,1990-12-21,1990-12-31,5
248,1990-12-24,0.951557395865,1990-12-24,1991-01-02,5
249,1990-12-26,1.54607086203,1990-12-26,1991-01-03,5
250,1990-12-27,2.86816501646,1990-12-27,1991-01-04,5
251,1990-12-28,3.64854503056,1990-12-28,1991-01-07,5
252,1990-12-31,5.02737661466,1990-12-31,1991-01-08,5
253,1991-01-02,4.31361598848,1991-01-02,1991-01-09,5
254,1991-01-03,3.93188116301,1991-01-03,1991-01-10,5
