,Date,Volatility,PeriodStart,PeriodEnd,DataPointsUsed,DatesUsed
0,1990-01-02,0.011071933069656292,1990-01-02,1990-01-05,4,"1990-01-02,1990-01-03,1990-01-04,1990-01-05"
1,1990-01-03,0.005675879386193459,1990-01-03,1990-01-08,4,"1990-01-03,1990-01-04,1990-01-05,1990-01-08"
2,1990-01-04,0.006432598896270843,1990-01-04,1990-01-09,4,"1990-01-04,1990-01-05,1990-01-08,1990-01-09"
3,1990-01-05,0.006320732043936954,1990-01-05,1990-01-10,4,"1990-01-05,1990-01-08,1990-01-09,1990-01-10"
4,1990-01-08,0.006901016010890202,1990-01-08,1990-01-11,4,"1990-01-08,1990-01-09,1990-01-10,1990-01-11"
5,1990-01-09,0.01016167978698482,1990-01-09,1990-01-12,4,"1990-01-09,1990-01-10,1990-01-11,1990-01-12"
6,1990-01-10,0.010100852682690214,1990-01-10,1990-01-15,4,"1990-01-10,1990-01-11,1990-01-12,1990-01-15"
7,1990-01-11,0.013530721990105334,1990-01-11,1990-01-16,4,"1990-01-11,1990-01-12,1990-01-15,1990-01-16"
8,1990-01-12,0.012726702255296164,1990-01-12,1990-01-17,4,"1990-01-12,1990-01-15,1990-01-16,1990-01-17"
9,1990-01-15,0.008588503671490836,1990-01-15,1990-01-18,4,"1990-01-15,1990-01-16,1990-01-17,1990-01-18"
10,1990-01-16,0.0074977362409192885,1990-01-16,1990-01-19,4,"1990-01-16,1990-01-17,1990-01-18,1990-01-19"
11,1990-01-17,0.011676568711704947,1990-01-17,1990-01-22,4,"1990-01-17,1990-01-18,1990-01-19,1990-01-22"
12,1990-01-18,0.01247959736258762,1990-01-18,1990-01-23,4,"1990-01-18,1990-01-19,1990-01-22,1990-01-23"
13,1990-01-19,0.011932101125445254,1990-01-19,1990-01-24,4,"1990-01-19,1990-01-22,1990-01-23,1990-01-24"
14,1990-01-22,0.010963372523412823,1990-01-22,1990-01-25,4,"1990-01-22,1990-01-23,1990-01-24,1990-01-25"
15,1990-01-23,0.005982384085262019,1990-01-23,1990-01-26,4,"1990-01-23,1990-01-24,1990-01-25,1990-01-26"
16,1990-01-24,0.004644597129010678,1990-01-24,1990-01-29,4,"1990-01-24,1990-01-25,1990-01-26,1990-01-29"
17,1990-01-25,0.004680009701906515,1990-01-25,1990-01-30,4,"1990-01-25,1990-01-26,1990-01-29,1990-01-30"
18,1990-01-26,0.009819978611071527,1990-01-26,1990-01-31,4,"1990-01-26,1990-01-29,1990-01-30,1990-01-31"
19,1990-01-29,0.00981930900682624,1990-01-29,1990-02-01,4,"1990-01-29,1990-01-30,1990-01-31,1990-02-01"
20,1990-01-30,0.009593034456984017,1990-01-30,1990-02-02,4,"1990-01-30,1990-01-31,1990-02-01,1990-02-02"
21,1990-01-31,0.007434779773232671,1990-01-31,1990-02-05,4,"1990-01-31,1990-02-01,1990-02-02,1990-02-05"
22,1990-02-01,0.004831597880466546,1990-02-01,1990-02-06,4,"1990-02-01,1990-02-02,1990-02-05,1990-02-06"
23,1990-02-02,0.006898777337785882,1990-02-02,1990-02-07,4,"1990-02-02,1990-02-05,1990-02-06,1990-02-07"
24,1990-02-05,0.007092454319877568,1990-02-05,1990-02-08,4,"1990-02-05,1990-02-06,1990-02-07,1990-02-08"
25,1990-02-06,0.007061475777131643,1990-02-06,1990-02-09,4,"1990-02-06,1990-02-07,1990-02-08,1990-02-09"
26,1990-02-07,0.008291385484301758,1990-02-07,1990-02-12,4,"1990-02-07,1990-02-08,1990-02-09,1990-02-12"
27,1990-02-08,0.005296449967637626,1990-02-08,1990-02-13,4,"1990-02-08,1990-02-09,1990-02-12,1990-02-13"
28,1990-02-09,0.005715904125621831,1990-02-09,1990-02-14,4,"1990-02-09,1990-02-12,1990-02-13,1990-02-14"
29,1990-02-12,0.007090231405115008,1990-02-12,1990-02-15,4,"1990-02-12,1990-02-13,1990-02-14,1990-02-15"
30,1990-02-13,0.005434961215252613,1990-02-13,1990-02-16,4,"1990-02-13,1990-02-14,1990-02-15,1990-02-16"
31,1990-02-14,0.008773402704106243,1990-02-14,1990-02-20,4,"1990-02-14,1990-02-15,1990-02-16,1990-02-20"
32,1990-02-15,0.008354745817556655,1990-02-15,1990-02-21,4,"1990-02-15,1990-02-16,1990-02-20,1990-02-21"
