,Token,Frequency_x,Frequency_y,Difference
12,pct,0.00543229499374,0.00233555484577,0.00309674014797
20,profit,0.00395853348155,0.00133694734144,0.0026215861401
1,to,0.0231476125566,0.0209000597145,0.00224755284219
11,2017,0.00569887984065,0.00348187041332,0.00221700942734
34,net,0.00266584846915,0.000547908542197,0.00211793992695
31,sees,0.00291231370498,0.00107056784282,0.00184174586216
0,BRIEF,0.0394243779268,0.0376440942655,0.00178028366126
16,FY,0.00447661346706,0.0031612050453,0.00131540842176
49,Y,0.00188621353949,0.000821862813296,0.0010643507262
22,up,0.00372212805126,0.0026852568416,0.00103687120967
120,LIVE,0.000870173179552,0.0,0.000870173179552
121,yields,0.00086514327678,0.0,0.00086514327678
140,loss,0.000769575124113,0.0,0.000769575124113
62,down,0.00156429976209,0.000835749896162,0.000728549865923
150,EPS,0.000719276096393,0.0,0.000719276096393
151,January,0.000704186388077,0.0,0.000704186388077
175,30,0.000628737846497,0.0,0.000628737846497
176,Q3,0.000623707943725,0.0,0.000623707943725
86,Expects,0.0011669374431,0.000560533162985,0.000606404280114
185,falls,0.000598558429866,0.0,0.000598558429866
193,Beijing,0.00058346872155,0.0,0.00058346872155
192,Shanghai,0.00058346872155,0.0,0.00058346872155
36,Reports,0.00255016070539,0.00198206546371,0.000568095241685
206,50,0.00055831920769,0.0,0.00055831920769
66,MARKETS,0.00145867180387,0.000908972696733,0.000549699107141
212,Apple,0.000543229499374,0.0,0.000543229499374
220,percent,0.000538199596602,0.0,0.000538199596602
221,stock,0.00053316969383,0.0,0.00053316969383
225,GAAP,0.000528139791058,0.0,0.000528139791058
226,opposition,0.000528139791058,0.0,0.000528139791058
230,Rise,0.000518079985514,0.0,0.000518079985514
19,Profit,0.00400883250927,0.00350206980658,0.000506762702689
238,20,0.000502990277198,0.0,0.000502990277198
234,Trading,0.000502990277198,0.0,0.000502990277198
241,demand,0.000502990277198,0.0,0.000502990277198
243,Super,0.000497960374426,0.0,0.000497960374426
248,calls,0.000497960374426,0.0,0.000497960374426
245,First,0.000497960374426,0.0,0.000497960374426
253,Shenzhen,0.000492930471654,0.0,0.000492930471654
252,drop,0.000492930471654,0.0,0.000492930471654
254,Consol,0.000487900568882,0.0,0.000487900568882
257,debt,0.000477840763338,0.0,0.000477840763338
263,St,0.000472810860566,0.0,0.000472810860566
264,cut,0.000467780957794,0.0,0.000467780957794
267,month,0.000462751055022,0.0,0.000462751055022
265,GLOBAL,0.000462751055022,0.0,0.000462751055022
268,Gets,0.000462751055022,0.0,0.000462751055022
271,source,0.00045772115225,0.0,0.00045772115225
269,Halt,0.00045772115225,0.0,0.00045772115225
274,Bowl,0.000452691249478,0.0,0.000452691249478
42,mln,0.00216285819195,0.00171189857885,0.000450959613105
278,revenue,0.000447661346706,0.0,0.000447661346706
276,Medical,0.000447661346706,0.0,0.000447661346706
279,Singapore,0.000447661346706,0.0,0.000447661346706
282,group,0.000442631443934,0.0,0.000442631443934
281,global,0.000442631443934,0.0,0.000442631443934
283,Bancorp,0.000442631443934,0.0,0.000442631443934
287,risk,0.000437601541162,0.0,0.000437601541162
286,day,0.000437601541162,0.0,0.000437601541162
284,outlook,0.000437601541162,0.0,0.000437601541162
73,Qtr,0.00133795413735,0.00090139792426,0.000436556213087
57,Technology,0.00162968849812,0.0011968140507,0.000432874447423
288,earnings,0.00043257163839,0.0,0.00043257163839
289,Estate,0.00043257163839,0.0,0.00043257163839
292,sanctions,0.00043257163839,0.0,0.00043257163839
290,Tech,0.00043257163839,0.0,0.00043257163839
294,lower,0.000427541735618,0.0,0.000427541735618
296,Q2,0.000422511832846,0.0,0.000422511832846
299,investors,0.000417481930074,0.0,0.000417481930074
95,Percent,0.00103113006826,0.000627443653161,0.000403686415095
13,as,0.0049896635498,0.00461808628423,0.00037157726557
56,Earnings,0.00166489781753,0.00130791071363,0.000356987103893
38,India,0.00226848615016,0.00191894235977,0.000349543790394
117,Russian,0.000880232985096,0.00053402145933,0.000346211525766
29,Per,0.00300788185764,0.00266631991042,0.000341561947228
137,bond,0.000784664832429,0.000443124189657,0.000341540642772
83,5,0.00118705705419,0.000850899441108,0.000336157613079
23,Share,0.00364667950969,0.00332027526723,0.000326404242453
114,fall,0.00089029279064,0.000576945170009,0.000313347620631
24,Q4,0.00359638048197,0.0032861887911,0.000310191690861
136,Euros,0.000789694735201,0.000496147596967,0.000293547138234
32,Net,0.00287710438557,0.00258552233737,0.000291582048199
90,German,0.00108645899875,0.000809238192508,0.00027722080624
70,a,0.00142346248447,0.00115136541586,0.000272097068609
81,Jan,0.00123735608191,0.00097462072483,0.000262735357077
92,Rises,0.00106633938766,0.000805450806271,0.000260888581388
99,Sees,0.00100095065162,0.000753689861041,0.000247260790583
108,growth,0.000925502110044,0.000679204598392,0.000246297511652
105,Wall,0.000935561915588,0.00069182921918,0.000243732696408
48,Bank,0.00193651256721,0.00169548657182,0.00024102599539
72,Capital,0.00136813355398,0.00113621587092,0.000231917683063
161,cash,0.000674006971445,0.000444386651736,0.000229620319709
88,Investment,0.00112166831815,0.000897610538023,0.000224057780128
78,stocks,0.00130274481794,0.00109202969816,0.000210715119785
156,higher,0.000689096679761,0.000479735589942,0.000209361089819
127,Dividend,0.000845023665693,0.00063880581187,0.000206217853822
93,off,0.00105627958212,0.000855949289423,0.000200330292692
158,European,0.000684066776989,0.000488572824494,0.000195493952495
126,Yuan,0.000850053568465,0.000656480280974,0.000193573287491
87,Financial,0.00112669822092,0.000948109021175,0.000178589199748
174,Q1,0.000633767749269,0.000458273734603,0.000175494014667
4,To,0.00932543973925,0.00915032514711,0.000175114592141
134,Australia,0.000804784443517,0.000633755963555,0.000171028479961
111,No,0.000910412401728,0.000739802778174,0.000170609623554
118,yuan,0.000875203082324,0.000706978764125,0.000168224318199
46,As,0.00199687140048,0.00183435740049,0.000162513999986
129,Signs,0.000809814346289,0.000648905508501,0.000160908837788
128,pay,0.000834963860149,0.000679204598392,0.000155759261757
195,31,0.000578438818778,0.000424187258475,0.000154251560302
164,sell,0.000658917263129,0.000504984831518,0.000153932431611
123,Energy,0.000860113374008,0.000709503688283,0.000150609685726
135,won,0.000799754540745,0.000653955356816,0.000145799183929
