,Token,Frequency_x,Frequency_y,Ratio
484,outlook,0.000291347458113,0.0,inf
63,Profit,0.0012975310293,0.0,inf
280,Jan,0.000421896592349,0.0,inf
486,Funds,0.000291347458113,0.0,inf
363,Pipeline,0.000348661712168,0.0,inf
382,yields,0.000340701399105,0.0,inf
277,Qtr,0.000423488654962,0.0,inf
384,investors,0.000339109336492,0.0,inf
449,open,0.000307268084239,0.0,inf
359,School,0.000351845837393,0.0,inf
386,Beijing,0.000337517273879,0.0,inf
494,Bln,0.000288163332888,0.0,inf
387,amid,0.000337517273879,0.0,inf
166,Y,0.000624088544154,0.0,inf
218,Revenue,0.00048876322208,0.0,inf
460,Pharma,0.000300899833789,0.0,inf
435,Apple,0.00031363633469,0.0,inf
345,SHAREHOLDER,0.000362990275682,0.0,inf
448,Trade,0.000307268084239,0.0,inf
380,Unit,0.000340701399105,0.0,inf
379,killed,0.000340701399105,0.0,inf
489,FOREX,0.0002897553955,0.0,inf
378,Information,0.000340701399105,0.0,inf
371,Contract,0.00034388552433,0.0,inf
283,markets,0.000420304529737,0.0,inf
369,Billion,0.000345477586943,0.0,inf
80,Per,0.00105235338695,0.0,inf
470,worth,0.000294531583338,0.0,inf
373,Industrial,0.00034388552433,0.0,inf
487,List,0.000291347458113,0.0,inf
365,GLOBAL,0.000347069649555,0.0,inf
219,UCITS,0.000485579096855,0.0,inf
207,Pct,0.000511052098657,0.0,inf
374,By,0.00034388552433,0.0,inf
479,risk,0.000294531583338,0.0,inf
70,Mln,0.00120678346038,0.0,inf
376,Rises,0.000342293461717,0.0,inf
492,Yuan,0.000288163332888,0.0,inf
474,BARCLAYS,0.000294531583338,0.0,inf
475,Stake,0.000294531583338,0.0,inf
454,Performance,0.000304083959014,0.0,inf
450,Dollar,0.000307268084239,0.0,inf
393,global,0.000335925211267,0.0,inf
320,St,0.000377318839195,0.0,inf
464,24,0.000299307771176,0.0,inf
410,Investigation,0.000327964898204,0.0,inf
138,August,0.000702099612174,0.0,inf
414,Aug,0.000326372835591,0.0,inf
471,Open,0.000294531583338,0.0,inf
418,demand,0.000324780772978,0.0,inf
423,Review,0.000321596647753,0.0,inf
452,buys,0.000305676021627,0.0,inf
459,fears,0.000300899833789,0.0,inf
315,Signs,0.000382095027033,0.0,inf
496,names,0.000286571270275,0.0,inf
441,firms,0.000308860146852,0.0,inf
497,power,0.000286571270275,0.0,inf
439,calls,0.000310452209464,0.0,inf
261,Key,0.000439409281088,0.0,inf
