,Token,Frequency_x,Frequency_y,Difference,Ratio
208,Euros,0.0005545547666984564,0.0,0.0005545547666984564,inf
53,And,0.001522376461446081,0.0,0.001522376461446081,inf
262,economy,0.00046978206350888345,0.0,0.00046978206350888345,inf
94,Shares,0.001010208046342411,0.0,0.001010208046342411,inf
263,St,0.0004662498675426513,0.0,0.0004662498675426513,inf
84,Pct,0.0011338349051605383,0.0,0.0011338349051605383,inf
81,On,0.0011550280809579315,0.0,0.0011550280809579315,inf
79,Earnings,0.0011691568648228604,0.0,0.0011691568648228604,inf
78,Loss,0.0011726890607890925,0.0,0.0011726890607890925,inf
266,day,0.0004662498675426513,0.0,0.0004662498675426513,inf
75,Dec,0.0012150754123838791,0.0,0.0012150754123838791,inf
175,Stake,0.0006251986860231005,0.0,0.0006251986860231005,inf
71,At,0.00123273639221504,0.0,0.00123273639221504,inf
267,amid,0.00046271767157641906,0.0,0.00046271767157641906,inf
139,Board,0.000734696760976299,0.0,0.000734696760976299,inf
226,January,0.0005227650030023666,0.0,0.0005227650030023666,inf
224,EPS,0.0005262971989685988,0.0,0.0005262971989685988,inf
179,LIVE,0.0006110699021581717,0.0,0.0006110699021581717,inf
65,Y,0.0013598954469993996,0.0,0.0013598954469993996,inf
274,Management,0.0004556532796439546,0.0,0.0004556532796439546,inf
180,Yuan,0.0006110699021581717,0.0,0.0006110699021581717,inf
60,As,0.0014234749743915792,0.0,0.0014234749743915792,inf
278,Partners,0.000445056691745258,0.0,0.000445056691745258,inf
58,With,0.0014482003461552047,0.0,0.0014482003461552047,inf
223,By,0.0005262971989685988,0.0,0.0005262971989685988,inf
261,Business,0.00047331425947511567,0.0,0.00047331425947511567,inf
171,Bln,0.0006393274698880294,0.0,0.0006393274698880294,inf
258,Its,0.00047331425947511567,0.0,0.00047331425947511567,inf
239,Sales,0.00051216841510367,0.0,0.00051216841510367,inf
136,Revenue,0.0007488255448412277,0.0,0.0007488255448412277,inf
135,Rises,0.0007488255448412277,0.0,0.0007488255448412277,inf
142,Percent,0.0007241001730776024,0.0,0.0007241001730776024,inf
251,t,0.0004874430433400445,0.0,0.0004874430433400445,inf
249,Shanghai,0.0004909752393062767,0.0,0.0004909752393062767,inf
246,100,0.0004945074352725089,0.0,0.0004945074352725089,inf
149,The,0.0007099713892126735,0.0,0.0007099713892126735,inf
151,Sees,0.0007029069972802091,0.0,0.0007029069972802091,inf
126,Expects,0.0008194694641658719,0.0,0.0008194694641658719,inf
240,calls,0.00051216841510367,0.0,0.00051216841510367,inf
254,demand,0.0004839108473738123,0.0,0.0004839108473738123,inf
229,Qtrly,0.0005227650030023666,0.0,0.0005227650030023666,inf
155,Posts,0.0006923104093815125,0.0,0.0006923104093815125,inf
236,Shenzhen,0.0005157006110699022,0.0,0.0005157006110699022,inf
114,Agreement,0.0008830489915580516,0.0,0.0008830489915580516,inf
113,From,0.0008865811875242839,0.0,0.0008865811875242839,inf
112,Jan,0.0008865811875242839,0.0,0.0008865811875242839,inf
162,Unit,0.000667585037617887,0.0,0.000667585037617887,inf
108,Qtr,0.0009395641270177669,0.0,0.0009395641270177669,inf
255,Development,0.0004839108473738123,0.0,0.0004839108473738123,inf
230,rules,0.0005227650030023666,0.0,0.0005227650030023666,inf
169,yields,0.0006428596658542616,0.0,0.0006428596658542616,inf
55,Million,0.0014799901098512945,0.0,0.0014799901098512945,inf
69,Up,0.0012857193317085231,0.0,0.0012857193317085231,inf
41,Net,0.0020274804846172867,0.0,0.0020274804846172867,inf
283,Apple,0.0004415244957790258,0.0,0.0004415244957790258,inf
24,Profit,0.0028151601850870686,0.0,0.0028151601850870686,inf
32,Share,0.0025608420755183496,0.0,0.0025608420755183496,inf
291,risk,0.0004344601038465614,0.0,0.0004344601038465614,inf
196,Signs,0.0005686835505633853,0.0,0.0005686835505633853,inf
293,opposition,0.0004309279078803292,0.0,0.0004309279078803292,inf
215,Offering,0.0005439581787997598,0.0,0.0005439581787997598,inf
287,ECB,0.00043799229981279363,0.0,0.00043799229981279363,inf
296,Stock,0.0004238635159478648,0.0,0.0004238635159478648,inf
38,Per,0.0021122531878068596,0.0,0.0021122531878068596,inf
285,Issue,0.00043799229981279363,0.0,0.00043799229981279363,inf
192,Beijing,0.0005757479424958496,0.0,0.0005757479424958496,inf
194,Appoints,0.0005686835505633853,0.0,0.0005686835505633853,inf
282,Oil,0.0004415244957790258,0.0,0.0004415244957790258,inf
279,global,0.000445056691745258,0.0,0.000445056691745258,inf
212,50,0.000547490374765992,0.0,0.000547490374765992,inf
297,Street,0.0004238635159478648,0.0,0.0004238635159478648,inf
298,firms,0.0004238635159478648,0.0,0.0004238635159478648,inf
281,Egypt,0.0004415244957790258,0.0,0.0004415244957790258,inf
280,warns,0.000445056691745258,0.0,0.000445056691745258,inf
49,Reports,0.0017908233548797287,0.0,0.0017908233548797287,inf
299,killed,0.0004238635159478648,0.0,0.0004238635159478648,inf
184,Dividend,0.000596941118293243,0.0,0.000596941118293243,inf
7,To,0.00656282010525944,0.001106147517588766,0.0054566725876706735,5.933042384405828
27,Mln,0.0026774045424040127,0.0004959422165709966,0.0021814623258330163,5.398621962284046
22,Says,0.00304122072692593,0.0005691976565575123,0.0024720230703684175,5.342995867760819
8,Of,0.006460386422238706,0.0012133834704731,0.005247002951765606,5.324274295346871
39,Announces,0.002087527816043234,0.0004204727488319319,0.001667055067211302,4.964716076945201
17,In,0.003691144784712656,0.0007772200032209291,0.002913924781491727,4.74916338927966
33,For,0.00252905231182226,0.0005678499874907432,0.0019612023243315165,4.453733147019726
52,2018,0.0016036169686694218,0.0005570686349565911,0.0010465483337128308,2.878670361318012
31,Q4,0.0025608420755183496,0.0009732095903596226,0.001587632485158727,2.6313366626114543
15,2017,0.004090282928896895,0.0017267491228358963,0.0023635338060609985,2.3687766073274674
35,Brexit,0.002408957648970365,0.001059652934785235,0.00134930471418513,2.273345894576888
76,MARKETS,0.001183285648687789,0.0005530256277562841,0.000630260020931505,2.1396578916036377
80,2015,0.0011585602769241638,0.0005502340275465483,0.0006083262493776155,2.1055772978819505
89,vote,0.0011020451414644485,0.0005569723728803933,0.0005450727685840552,1.978635198304722
