,Token,Frequency_2016,Frequency_2018,StandardDeviation,Mean,MeanMinusStdev
1,BRIEF,0.02912252814386885,0.039424377926774674,0.005150924891452913,0.03427345303532176,0.02912252814386885
0,to,0.03219492520670471,0.02314761255664928,0.004523656325027714,0.027671268881676994,0.02314761255664928
3,s,0.015231497408035682,0.015069588704850334,8.095435159267365e-05,0.015150543056443009,0.015069588704850336
2,in,0.019241034887721088,0.012308172083033635,0.0034664314023437268,0.01577460348537736,0.012308172083033635
4,of,0.014721408320383397,0.007489525227477353,0.003615941546453022,0.011105466773930376,0.007489525227477354
5,for,0.011933712143679047,0.007011684464139308,0.0024610138397698693,0.009472698303909177,0.0070116844641393075
6,on,0.011447348129871054,0.006629411853468873,0.002408968138201091,0.009038379991669964,0.006629411853468874
9,UPDATE,0.006358319790270347,0.0061817505067627045,8.82846417538212e-05,0.006270035148516526,0.0061817505067627045
8,U.S.,0.006476945159491809,0.00570390974342466,0.00038651770803357476,0.006090427451458234,0.00570390974342466
10,as,0.0061566566625938625,0.004989663549803582,0.0005834965563951402,0.005573160106198722,0.004989663549803582
7,says,0.009739142813082005,0.004969543938715665,0.0023847994371831703,0.007354343375898836,0.004969543938715666
12,1,0.005385591762654361,0.004476613467061682,0.0004544891477963396,0.004931102614858022,0.004476613467061682
19,up,0.0034401357074223893,0.0037221280512647692,0.00014099617192118996,0.0035811318793435793,0.0034401357074223893
20,China,0.0033452354120452198,0.003395184371086107,2.4974479520443625e-05,0.003370209891565663,0.0033452354120452193
13,with,0.0053381416149657765,0.003224167676838807,0.0010569869690634848,0.004281154645902291,0.0032241676768388064
14,at,0.004970402970379245,0.002605489635885338,0.0011824566672469536,0.0037879463031322918,0.002605489635885338
25,after,0.003024946915147273,0.002530041094305647,0.0002474529104208132,0.00277749400472646,0.002530041094305647
33,pct,0.0023487823105849417,0.005432294993737771,0.0015417563415764145,0.003890538652161356,0.0023487823105849412
34,2,0.002289469625974211,0.0027412970107287826,0.00022591369237728583,0.0025153833183514966,0.0022894696259742105
18,and,0.00365366137202102,0.002238306733530841,0.0007076773192450897,0.0029459840527759308,0.002238306733530841
