,Token,Frequency_2016,Frequency_2017,Frequency_2018,StandardDeviation,Mean,MeanMinusStdev
0,BRIEF,0.03212423766518532,0.038163645409802535,0.03743343675770854,0.002691452428736917,0.0359071066108988,0.03321565418216188
1,to,0.029801258697370162,0.02863515440394666,0.02094657131892415,0.003928239606411871,0.02646099480674699,0.022532755200335118
4,s,0.015069430524208616,0.014897525794430752,0.015417087847176063,0.00021611765750931283,0.015128014721938476,0.014911897064429164
2,in,0.01815618574115861,0.016594489645238637,0.012650464908034243,0.0023167790791909434,0.01580038009814383,0.013483601018952886
3,of,0.01511138546754368,0.015845461152056955,0.007790689799614228,0.003636402277483226,0.01291584547307162,0.009279443195588395
5,for,0.01158643417576079,0.011361806690813513,0.007558674729921918,0.0018480354846428782,0.01016897186549874,0.008320936380855862
6,on,0.009330926608045879,0.00883657797511724,0.006629360315640826,0.0011744810106521348,0.008265621632934648,0.007091140622282513
7,says,0.00919549310675374,0.009724315448517753,0.005382749616861601,0.0019340762899886928,0.008100852724044365,0.006166776434055672
8,UPDATE,0.006470875295432726,0.005660958263283787,0.006269423423739782,0.0003442832017495473,0.006133752327485431,0.005789469125735884
10,U.S.,0.005882770037104363,0.0057788155667376955,0.006161567769720654,0.00016160100264729773,0.005941051124520904,0.005779450121873606
11,as,0.00550002318562658,0.005736930894279461,0.0046064397350262494,0.0004867838793500345,0.005281131271644097,0.004794347392294062
13,1,0.0049845416888606685,0.004402423581324441,0.004634030716286956,0.00023929556293924087,0.004673665328824021,0.004434369765884781
14,with,0.004968103202290789,0.005135858646664529,0.0032833267700241547,0.000836559612660145,0.004462429539659824,0.003625869926999679
19,China,0.003677068630190728,0.0035210322704175992,0.003502800484597962,7.820850348322032e-05,0.0035669671284020966,0.0034887586249188764
9,at,0.0062095769641353936,0.005687068188972038,0.0026186349487434817,0.0015840581683963626,0.0048384267006169705,0.003254368532220608
15,up,0.004309091636220708,0.004383385093843424,0.0026800875888241477,0.0007860164046128643,0.0037908547729627595,0.003004838368349895
16,and,0.004083859835158782,0.004341137783528408,0.0026524966075634404,0.0007428549771129839,0.0036924980754168765,0.002949643098303893
21,after,0.003129200861376696,0.0028352840832442452,0.0028218049016632343,0.00014183755843766188,0.002928763282094725,0.0027869257236570635
17,pct,0.0040644771420390744,0.004356731211370002,0.002328929645506056,0.000895018109331549,0.0035833793329717104,0.0026883612236401613
12,mln,0.00531355677080407,0.00593311797479812,0.001701861889580893,0.0018658249310287533,0.00431617887839436,0.0024503539473656067
26,2,0.0025840319485666745,0.0024095472393830513,0.002705170299061154,0.0001213408455150935,0.0025662498290036266,0.002444908983488533
28,over,0.0025354525404944943,0.0023315801001750815,0.0022198198559750778,0.0001306727531075543,0.002362284165548218,0.0022316114124406638
22,from,0.0030654097194637324,0.0028793445828431677,0.0020003461414012705,0.0004644732883646124,0.0026483668145693903,0.002183893526204778
29,new,0.0025236757142951777,0.0024918660328723963,0.0018699160481688367,0.0003009679459415721,0.0022951525984454702,0.001994184652503898
42,Group,0.0017962113459415708,0.0025924980381291946,0.0031554049478154213,0.0005576083783547192,0.0025147047772953956,0.0019570963989406762
27,by,0.0025504189237894586,0.0024051955851016765,0.001759552123126008,0.00034374014644191695,0.0022383888773390473,0.0018946487308971304
25,shares,0.002605132095507116,0.002832020342533214,0.001586481422490663,0.0005416532994880081,0.0023412112868436644,0.0017995579873556562
20,profit,0.003332105762769085,0.0047099404838749455,0.0013281295070494956,0.0013884841788859722,0.003123391917897842,0.0017349077390118699
45,CEO,0.0016985618287055722,0.0017005902293756971,0.0018373085248607282,6.493300173048629e-05,0.001745486860980666,0.0016805538592501797
37,the,0.002034937427023547,0.00184872779387084,0.0015726859318603093,0.0001898975109080788,0.0018187837175848987,0.00162888620667682
30,bln,0.0023786735417160947,0.0023179811805457847,0.0014046317732723656,0.00044555185122174563,0.0020337621651780814,0.0015882103139563358
47,Trump,0.0015866819798120665,0.0027339268022738843,0.0018761867257280885,0.00048713467445257383,0.0020655985026046798,0.001578463828152106
50,Bank,0.0015368758190107907,0.0016340461826563368,0.0016930829409979406,6.440159018568215e-05,0.001621334980888356,0.001556933390702674
39,deal,0.001895578316998303,0.0016512714808534464,0.001444764109651576,0.0001842596519689522,0.0016638713025011085,0.0014796116505321564
57,UK,0.001422051763567456,0.0014989635810053192,0.0015450949505996022,5.075338718556107e-05,0.001488703431724126,0.0014379500445385648
58,3,0.0014127284428263303,0.0013841886993340518,0.0014272062124856715,1.7871856244646443e-05,0.0014080411182153512,0.0013901692619707048
40,unit,0.0018592664362170773,0.0020222500083406708,0.00122905280161332,0.0003420355210245334,0.0017035230820570228,0.0013614875610324893
18,share,0.003745766783020074,0.003837796438316026,0.0007524813071101958,0.0014332324327506285,0.0027786815094820987,0.0013454490767314702
38,a,0.001990038277138653,0.0019002223695337782,0.0011663460260208035,0.0003689490042115805,0.0016855355575644115,0.001316586553352831
90,FY,0.0009583392319693724,0.002393047216899504,0.0031403553216732176,0.0009054189098735345,0.0021639139235140313,0.0012584950136404968
56,year,0.001436036744679144,0.001442573394275834,0.0011211971475941919,0.00014998125498124555,0.00133326909551639,0.0011832878405351444
46,oil,0.0016823686926815123,0.0012240840855651275,0.0012240362595659186,0.00021604870918198193,0.0013768296792708527,0.0011607809700888707
61,EU,0.0013810782224156675,0.0011227268045947668,0.0012014618203526127,0.00010811861268817214,0.0012350889491210156,0.0011269703364328435
62,sees,0.001363658333662512,0.0015888977694870706,0.0010672693205846279,0.00021361322504528178,0.0013399418079114035,0.0011263285828661217
67,New,0.0012238085225456297,0.001169325769191158,0.0017796182913156133,0.00027575146459453013,0.0013909175276841336,0.0011151660630896033
60,not,0.0013972713584397276,0.0011881829377437833,0.0010735399981438795,0.00013402444424980906,0.0012196647647757968,0.0010856403205259878
89,India,0.0009691346559854124,0.0014541778056928341,0.0019200814686428497,0.00038824862033548627,0.0014477979767736988,0.0010595493564382126
48,sales,0.001582756371078961,0.001427523923219412,0.000956905395541799,0.00026609696541814913,0.0013223952299467239,0.0010562982645285746
23,net,0.0028809061090077754,0.0032900319556479394,0.0005442948121430417,0.0012095090267564199,0.002238410958932919,0.001028901932176499
103,Holdings,0.0008707490871119566,0.0015152822845604756,0.0017231821932823486,0.00036290305028494833,0.001369737854984927,0.0010068348046999788
150,2017,0.0007071002730506225,0.0022269590784936896,0.0034789719098728055,0.0011333715331523053,0.002137677087139039,0.001004305553986734
74,will,0.0011345009238674802,0.0010744959696428597,0.000983242241290656,6.2188804391281e-05,0.001064079711600332,0.001001890907209051
66,stocks,0.0012385295552947752,0.0009513804172656236,0.0010848272177505325,0.00011732532387298535,0.001091579063436977,0.0009742537395639918
68,Russia,0.001200500220692816,0.0009852870568746708,0.0010133414935750637,9.552902202154146e-05,0.001066376257047517,0.0009708472350259754
49,stake,0.001572451648154559,0.001761150751458167,0.0007976301855368076,0.00041691026632093193,0.0013770775283831777,0.0009601672620622458
51,down,0.0015206826829867307,0.0013698645039911922,0.0008302377088449161,0.00029639640563742457,0.0012402616319409463,0.0009438652263035217
88,South,0.000970606759260327,0.0009689683533195144,0.001275455815551782,0.00014409495172026642,0.0010716769760438746,0.0009275820243236082
71,be,0.0011688500002821531,0.0010929905003387037,0.0008791489938070788,0.00012266011160024285,0.001046996498142645,0.0009243363865424022
94,.,0.0009210459490048705,0.001019375015412109,0.0013456874042154002,0.00018149647865281507,0.0010953694562107932,0.0009138729775579782
73,more,0.0011384265326005857,0.000932160610856217,0.0009368392273521939,9.61509008235832e-05,0.0010024754569363322,0.000906324556112749
83,US,0.0010319443957151,0.0009196496047972637,0.0008766407227833782,6.547188949418425e-05,0.0009427449077652472,0.000877273018271063
35,million,0.0022150247276547606,0.0025259539914098345,0.0005192121019060352,0.0008818837464199599,0.0017533969403235436,0.0008715131939035837
102,talks,0.0008729572420243285,0.0008969847387484352,0.0009819881057788057,4.6774425890382785e-05,0.0009173100288505232,0.0008705356029601403
109,10,0.000842533774342761,0.0009988859765039679,0.0008640993676648749,6.918454857869185e-05,0.0009018397061705346,0.0008326551575918427
63,Brexit,0.0013283278550645628,0.0008861056030449976,0.0008866738068781808,0.0002083317710118142,0.0010337024216625803,0.0008253706506507661
78,STOCKS,0.0010947541354447874,0.0009109462962345135,0.0007888512369538553,0.00012572859153353166,0.0009315172228777186,0.000805788631344187
