,Token,MeanMinusStdev_HIGH,MeanMinusStdev_LOW,Difference
54,In,0.0008659651953166706,-0.00038289167965714914,0.0012488568749738198
260,To,0.0,-0.0008491381276943275,0.0008491381276943275
298,Of,0.0,-0.0007663187964888668,0.0007663187964888668
208,Says,0.0,-0.000646579362907996,0.000646579362907996
1,to,0.02314761255664928,0.022532755200335118,0.0006148573563141621
206,Mln,0.0,-0.0006064062476978584,0.0006064062476978584
107,Beijing,0.00055753923534087,0.0,0.00055753923534087
138,calls,0.0004979603744259622,-5.873192173690481e-05,0.000556692296162867
125,50,0.0005219516245744314,0.0,0.0005219516245744314
147,amid,0.000457721152250127,-5.852807302166653e-05,0.0005162492252717935
152,day,0.00043760154116220936,-5.931659794931838e-05,0.0004969181391115277
141,Shenzhen,0.0004929304716539829,0.0,0.0004929304716539829
157,Oil,0.0004225118328462711,-5.90475529597286e-05,0.00048155938580599967
207,Profit,0.0,-0.0004803457827281148,0.0004803457827281148
205,Share,0.0,-0.00045575706565984106,0.00045575706565984106
12,up,0.0034401357074223893,0.003004838368349895,0.00043529733907249433
200,Announces,0.0,-0.00042735882904577807,0.00042735882904577807
130,20,0.0005029902771979417,9.40474230901003e-05,0.00040894285410784145
117,stock,0.0005331696938298183,0.00013288955994469545,0.0004002801338851228
114,percent,0.0005381995966017975,0.00013886175101373395,0.0003993378455880636
7,UPDATE,0.0061817505067627045,0.005789469125735884,0.00039228138102682074
42,German,0.0010864589987475543,0.0006985066880563135,0.00038795231069124075
210,Million,0.0,-0.0003799129947027702,0.0003799129947027702
195,Per,0.0,-0.00036571387639573846,0.00036571387639573846
146,source,0.0004577211522501271,9.272581890676522e-05,0.0003649953333433618
31,down,0.001304879061436079,0.0009438652263035217,0.0003610138351325573
145,debt,0.0004778407633380446,0.00012196038046538576,0.00035588038287265886
199,Net,0.0,-0.00035463163771707977,0.00035463163771707977
63,Russian,0.0008303775845502319,0.0004766606936262879,0.00035371689092394395
196,And,0.0,-0.0003274455209584952,0.0003274455209584952
61,fall,0.0008422401214723781,0.0005198661353639805,0.00032237398610839767
151,group,0.0004426314439341887,0.00012124303314256366,0.00032138841079162503
202,For,0.0,-0.0003209134285050001,0.0003209134285050001
211,With,0.0,-0.000306320003477302,0.000306320003477302
97,Olympics,0.0005931268461073085,0.0002874400142566508,0.0003056868318506577
215,Up,0.0,-0.0002883113656244814,0.0002883113656244814
198,Reports,0.0,-0.0002718611675858475,0.0002718611675858475
218,Loss,0.0,-0.0002536793697536727,0.0002536793697536727
213,As,0.0,-0.0002521209299394865,0.0002521209299394865
216,At,0.0,-0.0002512551300427163,0.0002512551300427163
225,Pct,0.0,-0.00022493481318090183,0.00022493481318090183
69,Britain,0.0007645452213408715,0.0005402719880015075,0.00022427323333936398
226,On,0.0,-0.00021974001380028032,0.00021974001380028032
217,Dec,0.0,-0.00021870105392415612,0.00021870105392415612
149,revenue,0.00044766134670616814,0.00022966929382543853,0.0002179920528807296
44,Brexit,0.00103615997102776,0.0008253706506507661,0.00021078932037699389
66,won,0.0007997545407447274,0.0005902521328844703,0.00020950240786025704
185,Posts,0.0,-0.00020450193561712452,0.00020450193561712452
9,as,0.004989663549803582,0.004794347392294062,0.00019531615750952025
171,Agreement,0.0,-0.00018770541761978248,0.00018770541761978248
