,Token,MeanMinusStdev_HIGH,MeanMinusStdev_LOW,Difference,Ratio
424,head,0.0,0.0,0.0,inf
228,yields,0.0,0.0,0.0,inf
299,merger,0.0,0.0,0.0,inf
425,offers,0.0,0.0,0.0,inf
357,before,0.0,0.0,0.0,inf
141,Shenzhen,0.0004929304716539829,0.0,0.0004929304716539829,inf
223,sanctions,0.0,0.0,0.0,inf
300,protest,0.0,0.0,0.0,inf
356,Court,0.0,0.0,0.0,inf
221,Tech,0.0,0.0,0.0,inf
364,Aug.,0.0,0.0,0.0,inf
301,California,0.0,0.0,0.0,inf
219,Estate,0.0,0.0,0.0,inf
302,ECB,0.0,0.0,0.0,inf
303,campaign,0.0,0.0,0.0,inf
367,fears,0.0,0.0,0.0,inf
402,polls,0.0,0.0,0.0,inf
296,drop,0.0,0.0,0.0,inf
406,close,0.0,0.0,0.0,inf
418,date,0.0,0.0,0.0,inf
232,GAAP,0.0,0.0,0.0,inf
416,have,0.0,0.0,0.0,inf
282,Consol,0.0,0.0,0.0,inf
415,21,0.0,0.0,0.0,inf
284,EPS,0.0,0.0,0.0,inf
244,First,0.0,0.0,0.0,inf
317,22,0.0,0.0,0.0,inf
414,missile,0.0,0.0,0.0,inf
107,Beijing,0.00055753923534087,0.0,0.00055753923534087,inf
241,Trading,0.0,0.0,0.0,inf
413,study,0.0,0.0,0.0,inf
411,watchdog,0.0,0.0,0.0,inf
237,demand,0.0,0.0,0.0,inf
234,Rise,0.0,0.0,0.0,inf
408,Sox,0.0,0.0,0.0,inf
125,50,0.0005219516245744314,0.0,0.0005219516245744314,inf
401,dead,0.0,0.0,0.0,inf
370,funds,0.0,0.0,0.0,inf
306,equity,0.0,0.0,0.0,inf
307,launch,0.0,0.0,0.0,inf
183,Gets,0.0,0.0,0.0,inf
184,GLOBAL,0.0,0.0,0.0,inf
384,Pharma,0.0,0.0,0.0,inf
186,Halt,0.0,0.0,0.0,inf
385,backs,0.0,0.0,0.0,inf
386,shooting,0.0,0.0,0.0,inf
387,lead,0.0,0.0,0.0,inf
190,Bowl,0.0,0.0,0.0,inf
191,Singapore,0.0,0.0,0.0,inf
328,Senate,0.0,0.0,0.0,inf
396,open,0.0,0.0,0.0,inf
326,Indian,0.0,0.0,0.0,inf
389,Nigeria,0.0,0.0,0.0,inf
324,div,0.0,0.0,0.0,inf
390,Egypt,0.0,0.0,0.0,inf
333,foreign,0.0,0.0,0.0,inf
383,Tesla,0.0,0.0,0.0,inf
312,Yellen,0.0,0.0,0.0,inf
309,Supreme,0.0,0.0,0.0,inf
165,Medical,0.0,0.0,0.0,inf
166,Bancorp,0.0,0.0,0.0,inf
167,risk,0.0,0.0,0.0,inf
373,former,0.0,0.0,0.0,inf
374,military,0.0,0.0,0.0,inf
400,Taiwan,0.0,0.0,0.0,inf
342,referendum,0.0,0.0,0.0,inf
311,killed,0.0,0.0,0.0,inf
377,Europe,0.0,0.0,0.0,inf
340,Orlando,0.0,0.0,0.0,inf
378,FOREX,0.0,0.0,0.0,inf
379,that,0.0,0.0,0.0,inf
399,hopes,0.0,0.0,0.0,inf
178,LIVE,0.0,0.0,0.0,inf
417,show,0.0,0.0,0.0,inf
285,January,0.0,0.0,0.0,inf
322,would,0.0,0.0,0.0,inf
438,gas,0.0,0.0,0.0,inf
255,Apple,0.0,0.0,0.0,inf
421,due,0.0,0.0,0.0,inf
259,opposition,0.0,0.0,0.0,inf
422,regulator,0.0,0.0,0.0,inf
419,markets,0.0,0.0,0.0,inf
441,Syrian,0.0,0.0,0.0,inf
431,claims,0.0,0.0,0.0,inf
440,all,0.0,0.0,0.0,inf
436,launches,0.0,0.0,0.0,inf
265,Super,0.0,0.0,0.0,inf
439,patent,0.0,0.0,0.0,inf
278,St,0.0,0.0,0.0,inf
430,warns,0.0,0.0,0.0,inf
429,Sterling,0.0,0.0,0.0,inf
420,public,0.0,0.0,0.0,inf
130,20,0.0005029902771979417,9.40474230901003e-05,0.00040894285410784145,5.348262192320376
146,source,0.0004577211522501271,9.272581890676522e-05,0.0003649953333433618,4.936285898001727
117,stock,0.0005331696938298183,0.00013288955994469545,0.0004002801338851228,4.01212626523639
145,debt,0.0004778407633380446,0.00012196038046538576,0.00035588038287265886,3.91799993993675
114,percent,0.0005381995966017975,0.00013886175101373395,0.0003993378455880636,3.8757943974692326
151,group,0.0004426314439341887,0.00012124303314256366,0.00032138841079162503,3.65077837844687
97,Olympics,0.0005931268461073085,0.0002874400142566508,0.0003056868318506577,2.0634804365745496
149,revenue,0.00044766134670616814,0.00022966929382543853,0.0002179920528807296,1.9491562814070205
63,Russian,0.0008303775845502319,0.0004766606936262879,0.00035371689092394395,1.7420727063374466
61,fall,0.0008422401214723781,0.0005198661353639805,0.00032237398610839767,1.6201096093375844
42,German,0.0010864589987475543,0.0006985066880563135,0.00038795231069124075,1.5554024282441288
69,Britain,0.0007645452213408715,0.0005402719880015075,0.00022427323333936398,1.415111718393844
31,down,0.001304879061436079,0.0009438652263035217,0.0003610138351325573,1.382484516932998
89,European,0.000628714456873747,0.0004636154268202609,0.0001650990300534861,1.3561120284237076
66,won,0.0007997545407447274,0.0005902521328844703,0.00020950240786025704,1.354937146667224
96,loss,0.0005931268461073086,0.0004526211779745581,0.00014050566813275048,1.3104266326235585
98,bond,0.0005812643091851625,0.0004587869679091966,0.00012247734127596583,1.26695906780902
126,low,0.0005219516245744313,0.0004141990169976608,0.00010775260757677055,1.2601469418199491
44,Brexit,0.00103615997102776,0.0008253706506507661,0.00021078932037699389,1.2553874676919956
80,sell,0.0006589172631293037,0.0005558982620310892,0.0001030190010982145,1.1853198833934349
51,Technology,0.000901552806083109,0.000766004288622505,0.00013554851746060397,1.1769552983892022
84,top,0.0006387976520413859,0.0005443113832536136,9.448626878777228e-05,1.1735886327105305
64,set,0.0008098143462886863,0.0006909821356375581,0.00011883221065112819,1.1719758073650972
120,worth,0.000528139791057839,0.00045412569267378865,7.401409838405032e-05,1.1629815259917846
62,pay,0.0008349638601485832,0.0007181574538188602,0.00011680640632972302,1.1626473494198182
56,Japan,0.0008659651953166704,0.0007450607882928009,0.00012090440702386949,1.162274553866812
39,Russia,0.001116638415379431,0.0009708472350259754,0.00014579118035345563,1.1501690225749626
12,up,0.0034401357074223893,0.003004838368349895,0.00043529733907249433,1.1448654755135923
119,Fed,0.000528139791057839,0.0004616867059556702,6.645308510216876e-05,1.143935452862161
32,New,0.0012692914506696401,0.0011151660630896033,0.00015412538758003682,1.1382084630095606
116,MARKETS,0.0005338141614965776,0.00047439657753701797,5.941758395955961e-05,1.1252487618440357
34,sees,0.001245566376825348,0.0011263285828661217,0.00011923779395922639,1.1058641286149438
53,yuan,0.0008752030823244185,0.0008015030601701903,7.370002215422822e-05,1.0919522654580742
58,sources,0.000855083471236501,0.000787227150010802,6.785632122569896e-05,1.086196622188104
106,it,0.00055753923534087,0.0005157882580626369,4.175097727823307e-05,1.0809459630489744
57,STOCKS,0.00086514327678046,0.000805788631344187,5.9354645436272965e-05,1.07366031627582
43,stocks,0.0010439032491488627,0.0009742537395639918,6.96495095848709e-05,1.0714901126435925
7,UPDATE,0.0061817505067627045,0.005789469125735884,0.00039228138102682074,1.0677577464370638
72,growth,0.0007473398260952088,0.0007033437003574386,4.399612573777016e-05,1.062552811257727
23,CEO,0.0017805855812807136,0.0016805538592501797,0.00010003172203053388,1.0595230682313064
75,A,0.0007117522153287702,0.000674073380919827,3.767883440894317e-05,1.0558972294047977
68,5,0.0007710648999395011,0.0007339135752356365,3.715132470386462e-05,1.0506208441394975
83,may,0.0006387976520413859,0.000610370448029452,2.8427204011933897e-05,1.046573689967641
40,India,0.0011032159337595938,0.0010595493564382126,4.366657732138117e-05,1.0412124051192584
9,as,0.004989663549803582,0.004794347392294062,0.00019531615750952025,1.0407388412911946
36,EU,0.0011719673458712044,0.0011269703364328435,4.499700943836086e-05,1.0399274124470643
85,its,0.0006337677492694066,0.0006103907593115769,2.337698995782977e-05,1.0382984008214595
65,buy,0.0008098143462886863,0.000782004418156998,2.7809928131688317e-05,1.035562367022465
113,IPO,0.0005381995966017975,0.0005198648318575278,1.8334764744269705e-05,1.0352683305750032
1,to,0.02314761255664928,0.022532755200335118,0.0006148573563141621,1.0272872691709276
73,market,0.0007444256102529537,0.0007327958667298661,1.1629743523087588e-05,1.015870372706912
2,s,0.015069588704850336,0.014911897064429164,0.00015769164042117242,1.0105748879394647
11,1,0.004476613467061682,0.004434369765884781,4.224370117690123e-05,1.0095264272956885
144,higher,0.0004863640138079929,0.00048337811108970224,2.9859027182906886e-06,1.0061771574876641
67,off,0.0007829274368616472,0.0007791547055467833,3.772731314863895e-06,1.0048420824362683
95,North,0.0005935285270935713,0.0005917963896151367,1.7321374784346182e-06,1.0029269145754016
123,State,0.0005219516245744316,0.0005226828094593642,-7.311848849326846e-07,0.9986010925331771
8,U.S.,0.00570390974342466,0.005779450121873606,-7.554037844894647e-05,0.9869294869138073
